Geography,Date,Delegates,Won,Bernie,Independents,Type,SouthEast,NorthEast,MidWest,West,InternetAccess,Dem2004,FBshare,FBnet,Google,Age18to34,Age45to54,Age55plus,RaceWhite,RaceBlack,RaceHispanic,RaceAsian,Income0to50,Income50to75,Income75plus,EduHSorless,EduBSorAA,EduGrad,Employed,Unemployed,FoodStamps,Retirement,IndustryFinance,IndustryManufacturing,MedianAge,MedianIncome,HousingRent,Poverty12mo
Nebraska,3/5/2016,25,15,57.2,Closed,caucus,0,0,1,0,78.8,33.22,0.7666666667,16,0.3866667,23.5,13.3,26.9,90.7,4.4,6.6,2.2,62.7,21.1,16.1,35,55.6,9.4,66.5,3.6,8.5,14.4,7.8,9.1,36.2,53.512,32.2,12.1
Nevada,2/20/2016,35,15,47.3,Closed,caucus,0,0,0,1,79.4,2.59,0.7272727273,15,0.3392857,23.55,12.4,24.9,75,9.6,20.4,9,56.6,22.6,20.7,38.5,53.1,8.4,55.4,7.8,11,20.1,6.4,4,34.1,54.158,43.2,15.2
New Hampshire,2/9/2016,24,15,60.4,Closed,primary,0,1,0,0,85.7,-1.37,0.8048780488,25,0.3684211,20.5,16.4,29,96.2,0.8,2.4,2.6,50,24.7,25.3,36.9,50.7,12.4,64.3,4.4,8.1,18.2,6.4,12.3,41.6,66.008,28.2,8.7
New Jersey,6/7/2016,126,,,Closed,primary,0,1,0,0,84.5,-6.68,0.6923076923,15,0.3384615,21.41,14.2,26.3,75.5,14.4,13.5,9,38.9,24.6,36.4,38.5,48.3,13.3,58.2,6.6,7.7,20.3,8.9,7.6,36.7,74.086,30.4,10.3
New Mexico,6/7/2016,34,,,Closed,primary,0,0,0,1,68.1,0.79,0.8055555556,22,0.3636364,23,12.8,27.1,73.8,2.2,43.7,2,62,20.1,18,38.7,49.6,11.8,53.6,5.6,14.3,20.9,4.8,4.6,35.7,46.754,31.1,20
New York,4/19/2016,247,,,Closed,primary,0,1,0,0,80.6,-18.29,0.6956521739,18,0.3521127,27.56,13.2,25,73.5,14.5,14.3,8.2,46.8,23.3,29.9,37.3,47,15.7,56.9,5.7,13.4,20.2,8.4,6.7,34.5,61.553,41,14.8
North Carolina,3/15/2016,107,47,40.8,Closed,primary,1,0,0,0,75.2,12.43,0.7391304348,11,0.35,22.96,13.9,27,71.5,22.6,5.1,2.6,62.8,19.7,17.4,40,50.7,9.3,54.6,6.6,14.3,19.5,6.5,12,37.9,47.177,33,17.1
North Dakota,6/7/2016,18,,,Open,primary,0,0,1,0,79.4,27.36,0.75,12,0.4,25.7,13.2,27.1,90.7,1,2.3,1.4,62.1,21,16.9,36.1,56.8,7.3,67.5,2.1,7.7,12,5.8,6.8,35.9,56.072,33.9,11.5
Ohio,3/15/2016,143,62,42.7,Open,primary,0,0,1,0,77.1,2.11,0.75,12,0.3529412,21.86,14.4,28.1,84.1,12.2,2.7,2.1,59.1,22.8,18.1,46,45.1,8.9,57.6,5.9,15,21.3,6.4,15.3,39,48.849,32.5,15.8
Oklahoma,3/1/2016,38,21,51.9,Closed,primary,0.25,0,0.5,0.25,71.1,31.14,0.75,10,0.3137255,23.7,13.1,26.5,74.8,7.4,6.5,2.2,65.1,19.3,15.5,43.7,48.4,7.8,56.5,4.2,14,17.8,6,9.4,36.2,46.754,32.7,16.6
Oregon,5/17/2016,61,,,Closed,primary,0,0,0,1,82.4,-4.16,0.84,34,0.4137931,23.1,13,29.2,89,1.7,8.5,4.9,56,22.6,21.3,32.6,56.3,11.2,54.9,6.6,18.3,20.1,6.2,10.3,38.7,51.168,37.3,16.1
Pennsylvania,4/26/2016,189,,,Closed,primary,0,1,0,0,78.9,-2.5,0.7419354839,15,0.359375,21.89,14.6,29.6,84.5,10.8,5.1,3.2,55.8,23.3,20.9,47.9,41.6,10.4,57.2,5.4,12.3,20.9,6.5,12,40.3,53.337,29.6,13.2
Rhode Island,4/26/2016,24,,,Closed,primary,0,1,0,0,82.9,-20.75,0.7608695652,24,0.3736264,23.5,14.4,27.8,86.7,5.3,9.1,3.5,48.8,24.6,26.6,38.5,48.2,13.3,59.2,6.1,14,18.8,7.4,9.2,38.6,59.411,37.5,13.5
South Carolina,2/27/2016,53,14,26,Open,primary,1,0,0,0,71.7,17.08,0.6666666667,5,0.2978723,23.1,13.7,28,67.9,28.7,3.1,1.6,65.3,19.7,15,44.3,46.7,9,53.4,6.5,15.3,20.7,6,13.7,38.3,45.123,30.7,18.2
South Dakota,6/7/2016,20,,,Open,primary,0,0,1,0,76,21.47,0.7692307692,14,0.3870968,22.9,13.4,27.7,86.8,1,2.5,1.3,69.9,17.5,12.4,40.2,51.9,7.8,65.3,3.2,10.8,14.6,7.4,9,37,50.712,31.1,13.9
Tennessee,3/1/2016,67,23,32.4,Open,primary,1,0,0,0,72.2,14.27,0.7222222222,8,0.3255814,22.6,14.1,27.4,79.4,17.2,2.8,1.8,64.9,19.3,15.8,47.7,43.7,8.6,54.8,5.9,17.2,19,5.9,12.9,38.5,44.786,31.9,17.5
Texas,3/1/2016,222,74,33.2,Open,primary,1,0,0,0,74.6,22.86,0.6666666667,7,0.3055556,24.66,12.2,21.8,77.4,13.4,32,4.4,56.6,21.5,21.9,38.2,52.5,9.3,58.7,5.1,12.1,16.2,7.3,8.6,31.4,55.555,36,16.5
Utah,3/22/2016,33,27,79.3,Open,caucus,0,0,0,1,83.8,45.54,0.8064516129,19,0.3846154,27.6,10.2,18.9,91.3,0.9,9.2,2.8,55.1,23.8,21.1,29.1,60.4,10.4,62.9,4.6,8.5,16.7,6.8,10,28.7,61.543,28.5,11.8
Vermont,3/1/2016,16,16,86.1,Open,primary,0,1,0,0,80.9,-20.14,0.95,72,0.5154639,21.6,15.5,30.5,96.6,0.7,1.3,1.7,59.5,23.4,17,39.1,47.2,13.7,63.1,4.2,14,17.2,4.8,10.6,42,54.511,28.8,12
Virginia,3/1/2016,95,33,35.2,Open,primary,1,0,0,0,80.6,8.2,0.7037037037,11,0.3137255,23.7,14.2,25.8,73,20.4,5.1,6.5,49.7,21.2,29.1,36.7,48.9,14.5,59,4.5,9.7,22.7,6.4,7.9,36.7,64.025,31.9,11.5
Washington,3/26/2016,101,68,72.7,Open,caucus,0,0,0,1,83,-7.18,0.7419354839,30,0.4050633,23.68,13.5,26.3,83.8,3.4,8.9,9,47.8,24.6,27.6,30.6,57.9,11.4,57.5,5.7,13.2,19.7,5.9,10.2,36.4,61.299,35.6,12.8
West Virginia,5/10/2016,29,,,Closed,primary,1,0,0,0,71.8,12.86,0.7894736842,11,0.3561644,21.1,14.2,31.5,94.4,3.1,1,0.9,64.7,20,15.3,56.9,36.4,6.9,49.7,4.4,15.9,23.7,4.3,8.2,41.7,41.503,26.8,18.1
Wisconsin,4/5/2016,86,,,Open,primary,0,0,1,0,79,-0.38,0.7419354839,27,0.3793103,22.38,14.8,27.8,88.6,6.4,4.5,2.7,58.7,24.1,17.2,40.9,50.1,9,62.5,4.9,12.3,18.3,6.3,18,38.9,53.152,31.5,12.9
Wyoming,4/9/2016,14,,,Closed,caucus,0,0,0,1,80.5,39.79,0.85,14,0.3563218,23.7,13.5,27,92,0.9,8,1.2,54.5,24.9,20.6,36.5,55.3,8.2,64.3,3.5,6.1,17.4,4.2,4.1,36.7,59.01,29.9,11.2
Puerto Rico,6/6/2016,60,,,Closed,caucus,0,0.25,0,0,73.9,-0.18,0.7,14,0.610526316,22.9,12.9,27.9,70.3,7.5,99.1,0.3,86.6,7.7,5.7,54.8,38.7,6.5,36.6,8.3,38.4,14.9,5.4,9.3,37.6,19.597,30,45.5
